CAS,InChIKey,Score
"23386-52-9","UELAIMNOXLAYRW-UHFFFAOYSA-M","0"
"2373-38-8","MAHMRCJOZYLGOW-UHFFFAOYSA-N","0"
"2386-87-0","YXALYBMHAYZKAP-UHFFFAOYSA-N","0"
"2402-79-1","FATBKZJZAHWCSL-UHFFFAOYSA-N","0"
"2416-94-6","QQOMQLYQAXGHSU-UHFFFAOYSA-N","0"
"2436-90-0","FUDNBFMOXDUIIE-UHFFFAOYSA-N","0"
"2437-25-4","VXCUURYYWGCLIH-UHFFFAOYSA-N","0"
"2437-56-1","VQOXUMQBYILCKR-UHFFFAOYSA-N","0"
"2439-35-2","DPBJAVGHACCNRL-UHFFFAOYSA-N","0"
"2440-22-4","MCPKSFINULVDNX-UHFFFAOYSA-N","1"
"2451-62-9","OUPZKGBUJRBPGC-UHFFFAOYSA-N","0"
"24549-06-2","JJVKJJNCIILLRP-UHFFFAOYSA-N","0"
"25013-15-4","XYLMUPLGERFSHI-UHFFFAOYSA-N","1"
"25134-21-8","JIYNFFGKZCOPKN-UHFFFAOYSA-N","0"
"25155-23-1","LLPMAOBOEQFPRE-UHFFFAOYSA-N","0"
"25167-67-3","VXNZUUAINFGPBY-UHFFFAOYSA-N","0"
"25167-67-3","VXNZUUAINFGPBY-UHFFFAOYSA-N","0"
"25264-93-1","LIKMAJRDDDTEIG-UHFFFAOYSA-N","0"
"2528-36-1","YICSVBJRVMLQNS-UHFFFAOYSA-N","0"
"25321-09-9","OKIRBHVFJGXOIS-UHFFFAOYSA-N","0"
"25322-17-2","WDNQRCVBPNOTNV-UHFFFAOYSA-N","0"
"25339-09-7","LGEZTMRIZWCDLW-UHFFFAOYSA-N","0"
"25339-17-7","PLLBRTOLHQQAQQ-UHFFFAOYSA-N","0"
"25339-56-4","KWKAKUADMBZCLK-UHFFFAOYSA-N","0"
"25340-17-4","DSNHSQKRULAAEI-UHFFFAOYSA-N","1"
"25377-83-7","KWKAKUADMBZCLK-UHFFFAOYSA-N","0"
"25378-22-7","CRSBERNSMYQZNG-UHFFFAOYSA-N","0"
"25448-25-3","QEDNBHNWMHJNAB-UHFFFAOYSA-N","0"
"25550-51-0","FKBMTBAXDISZGN-UHFFFAOYSA-N","0"
"25550-98-5","SXXILWLQSQDLDL-UHFFFAOYSA-N","0"
"25586-42-9","FEVFLQDDNUQKRY-UHFFFAOYSA-N","0"
"25619-56-1","YSIQDTZQRDDQNF-UHFFFAOYSA-L","0"
"25899-50-7","ISBHMJZRKAFTGE-ARJAWSKDSA-N","0"
"25973-55-1","ZMWRRFHBXARRRT-UHFFFAOYSA-N","0"
"26140-60-3","XJKSTNDFUHDPQJ-UHFFFAOYSA-N","0"
"2624-17-1","QHFDHWJHIAVELW-UHFFFAOYSA-M","0"
"26264-05-1","UYLNXHPPEWDOLL-UHFFFAOYSA-M","0"
"26264-06-2","IQAXZJZTCMIPCX-UHFFFAOYSA-L","0"
"26266-58-0","PRXRUNOAOLTIEF-ILWZSSAQSA-N","1"
"26294-98-4","ISBHMJZRKAFTGE-ONEGZZNKSA-N","0"
"26351-32-6","WFWQUQYVEYXMPO-UHFFFAOYSA-N","0"
"26472-00-4","IYQYZZHQSZMZIG-UHFFFAOYSA-N","0"
"26523-78-4","YKOPAUBBWPNUKT-UHFFFAOYSA-N","0"
"26544-23-0","ADRNSOYXKABLGT-UHFFFAOYSA-N","0"
"26760-64-5","MHNNAWXXUZQSNM-UHFFFAOYSA-N","0"
"26761-45-5","DHEHEJGXTUCSQF-UHFFFAOYSA-N","0"
"26999-29-1","DXECDJILNIXBML-UHFFFAOYSA-N","0"
"27070-58-2","CCCMONHAUSKTEQ-UHFFFAOYSA-N","1"
"27215-95-8","IICQZTQZQSBHBY-HWKANZROSA-N","0"
"27251-75-8","WDRCVXGINNJWPH-UHFFFAOYSA-N","0"
"27251-75-8","WDRCVXGINNJWPH-UHFFFAOYSA-N","0"
"27323-41-7","JHWLWOYSFJIYQV-UHFFFAOYSA-N","0"
"27554-26-3","IJFPVINAQGWBRJ-UHFFFAOYSA-N","1"
"27676-62-6","VNQNXQYZMPJLQX-UHFFFAOYSA-N","0"
"2772-45-4","FMUYQRFTLHAARI-UHFFFAOYSA-N","0"
"2778-42-9","AZYRZNIYJDKRHO-UHFFFAOYSA-N","0"
"2781-11-5","CCJKFLLIJCGHMO-UHFFFAOYSA-N","0"
"28061-69-0","DCNHQNGFLVPROM-QXMHVHEDSA-N","0"
"28324-52-9","QMQTYHMGPDPPPW-UHFFFAOYSA-N","0"
"28473-21-4","ZWRUINPWMLAQRD-UHFFFAOYSA-N","1"
"28519-02-0","HUHBEJNFURMZLH-UHFFFAOYSA-L","0"
"2867-47-2","JKNCOURZONDCGV-UHFFFAOYSA-N","0"
"287-92-3","RGSFGYAAUTVSQA-UHFFFAOYSA-N","0"
